Record,Vendor,Job,Phase,Type,Status,Retention,Paid,InvoiceTotal,TotalPaid,Balance,NetDue,Period,LinkNum,BatchNum,PostingYear,Label
56851,4,130768,0,1,4,0,320.07,320.07,320.07,0,0,0,105334,3724,2013,0
132559,1742,180315,0,1,4,0,420,420,420,0,0,9,264075,6225,2018,0
132560,1742,180315,0,1,4,0,400,400,400,0,0,9,264076,6225,2018,0
132561,1742,180567,0,1,4,0,55,55,55,0,0,9,264077,6225,2018,0
132562,1742,180655,0,1,4,0,112.5,112.5,112.5,0,0,9,264078,6225,2018,0
132563,1742,170771,0,1,4,0,2040,2040,2040,0,0,9,264079,6225,2018,0
132564,29,170771,0,1,4,0,8.23,8.31,8.31,0,0,9,264080,6225,2018,0
132565,29,170771,0,1,4,0,119.69,120.9,120.9,0,0,9,264081,6225,2018,0
132566,319,180315,0,1,4,0,79.2,79.2,79.2,0,0,9,264082,6225,2018,0
132567,319,170771,0,1,4,0,284.22,284.22,284.22,0,0,9,264083,6225,2018,0
132568,319,180345,0,1,4,0,121.79,121.79,121.79,0,0,9,264084,6225,2018,0
132569,577,180512,0,1,4,0,199.5,199.5,199.5,0,0,9,264085,6225,2018,0
132570,577,170771,0,1,4,0,20890.83,20890.83,20890.83,0,0,9,264086,6225,2018,0
132571,577,170771,0,1,4,0,5057.37,5057.37,5057.37,0,0,9,264087,6225,2018,0
132572,577,170771,0,1,4,0,453.2,453.2,453.2,0,0,9,264088,6225,2018,0
132573,577,170771,0,1,4,0,487.99,487.99,487.99,0,0,9,264089,6225,2018,0
132574,577,170771,0,1,4,0,5273.36,5273.36,5273.36,0,0,9,264090,6225,2018,0
132575,2042,180682,0,1,4,0,450,450,450,0,0,9,264091,6225,2018,0
132576,4,0,0,1,4,0,14.83,14.83,14.83,0,0,9,264092,0,2018,0
132577,3,180578,0,1,4,0,214.23,216.4,216.4,0,0,9,264094,6226,2018,0
132578,3,180578,0,1,4,0,137.17,138.49,138.49,0,0,9,264095,6226,2018,0
132579,3,180514,502,1,4,0,58.82,59.36,59.36,0,0,9,264096,6226,2018,0
132580,3,180578,0,1,4,0,37.71,38.09,38.09,0,0,9,264097,6226,2018,0
132581,3,180578,0,1,4,0,6.66,6.72,6.72,0,0,9,264098,6226,2018,0
132582,97,180596,0,1,4,0,12.37,12.62,12.62,0,0,9,264099,6226,2018,0
132583,97,180578,0,1,4,0,63.27,64.56,64.56,0,0,9,264100,6226,2018,0
132584,194,180680,0,1,4,0,67.84,68.53,68.53,0,0,9,264101,6226,2018,0
132585,2305,180653,0,1,4,0,550,550,550,0,0,9,264102,6227,2018,0
132586,2486,2018091801,0,1,4,0,319,319,319,0,0,9,264103,6227,2018,0
132587,4,180658,0,1,4,0,225.41,225.41,225.41,0,0,9,264104,0,2018,0
132588,4,180408,109,1,4,0,37.45,37.45,37.45,0,0,9,264106,0,2018,0
132589,3,0,0,1,4,0,296.18,298.89,298.89,0,0,9,264108,6228,2018,0
132590,269,0,0,1,4,0,39.41,39.41,39.41,0,0,9,264109,6228,2018,0
132591,4,180058,109,1,4,0,44.96,44.96,44.96,0,0,9,264110,0,2018,0
132592,608,0,0,1,4,0,90,90,90,0,0,9,264112,6228,2018,0
132593,4,180498,0,1,4,0,49.22,49.22,49.22,0,0,9,264113,0,2018,0
132594,4,180590,0,1,4,0,13.22,13.22,13.22,0,0,9,264117,0,2018,0
132595,4,180545,0,1,4,0,48.43,48.43,48.43,0,0,9,264119,0,2018,0
132596,4,180545,0,1,4,0,6.57,6.57,6.57,0,0,9,264121,0,2018,0
132597,4,180625,0,1,4,0,62.59,62.59,62.59,0,0,9,264130,0,2018,0
132598,2832,170425,0,1,4,0,10470.5,10470.5,10470.5,0,0,9,264133,0,2018,0
132599,2832,170425,0,1,4,0,2435,2435,2435,0,0,9,264135,0,2018,0
132600,2314,0,0,1,4,0,5,5,5,0,0,9,264137,0,2018,0
132601,2314,0,0,1,4,0,44.81,44.81,44.81,0,0,9,264139,0,2018,0
132602,2314,0,0,1,4,0,40.6,40.6,40.6,0,0,9,264141,0,2018,0
132603,2314,0,0,1,4,0,5,5,5,0,0,9,264143,0,2018,0
132604,2874,180675,0,1,4,0,1493.33,1493.33,1493.33,0,0,9,264145,0,2018,0
132605,1227,0,0,1,4,0,8.76,8.76,8.76,0,0,9,264147,0,2018,0
132606,1152,0,0,1,4,0,41.9,41.9,41.9,0,0,9,264149,0,2018,0
132607,4,180655,0,1,4,0,25.2,25.2,25.2,0,0,9,264151,0,2018,0
132608,2124,0,0,1,4,0,100.81,100.81,100.81,0,0,9,264153,0,2018,0
132609,8,170425,0,1,4,0,112.16,112.16,112.16,0,0,9,264155,0,2018,0
132610,2885,0,0,1,4,0,-127.17,-127.17,-127.17,0,0,8,264157,0,2018,0
132611,2885,0,0,1,4,0,660.43,660.43,660.43,0,0,8,264159,0,2018,0
132612,1879,0,0,1,4,0,169.99,169.99,169.99,0,0,9,264161,0,2018,0
132613,4,180437,0,1,4,0,90.3,90.3,90.3,0,0,9,264163,0,2018,0
132614,18,180267,109,1,4,0,174.93,178.5,178.5,0,0,9,264168,6229,2018,0
132615,5,180618,0,1,4,0,75.4,75.4,75.4,0,0,9,264169,6229,2018,0
132616,5,0,0,1,4,0,50.75,50.75,50.75,0,0,9,264170,6229,2018,0
132617,204,170425,0,1,4,0,20,20,20,0,0,9,264171,6229,2018,0
132618,204,180666,0,1,4,0,25,25,25,0,0,9,264172,6229,2018,0
132619,204,180461,0,1,4,0,20,20,20,0,0,9,264173,6229,2018,0
132620,204,2018091601,0,1,4,0,25,25,25,0,0,9,264174,6229,2018,0
132621,204,170771,0,1,4,0,144,144,144,0,0,9,264175,6229,2018,0
132622,204,170771,0,1,4,0,139,139,139,0,0,9,264176,6229,2018,0
132623,204,170771,0,1,4,0,131,131,131,0,0,9,264177,6229,2018,0
132624,204,170771,0,1,4,0,198,198,198,0,0,9,264178,6229,2018,0
132625,204,170771,0,1,4,0,173,173,173,0,0,9,264179,6229,2018,0
132626,204,180671,0,1,4,0,41,41,41,0,0,9,264180,6229,2018,0
132627,204,180437,0,1,4,0,82,82,82,0,0,9,264181,6229,2018,0
132628,2482,0,0,1,4,0,649,649,649,0,0,9,264182,0,2018,0
132629,4,0,0,1,4,0,500,500,500,0,0,9,264184,0,2018,0
132630,8,180620,0,1,4,0,28.23,28.23,28.23,0,0,9,264186,0,2018,0
132631,4,180671,0,1,4,0,18.15,18.15,18.15,0,0,9,264188,0,2018,0
132632,2036,180115,109,1,4,0,32.98,32.98,32.98,0,0,9,264190,6230,2018,0
132633,2261,0,0,1,4,0,94.91,94.91,94.91,0,0,9,264191,0,2018,0
132634,2024,0,0,1,4,0,100,100,100,0,0,9,264193,0,2018,0
132635,2036,180659,0,1,4,0,28,28,28,0,0,9,264195,6230,2018,0
132636,1242,0,0,1,4,0,54.02,54.02,54.02,0,0,9,264196,0,2018,0
132637,2778,180659,0,1,4,0,9.64,9.64,9.64,0,0,9,264198,6230,2018,0
132638,1130,180538,0,1,4,0,32.79,32.79,32.79,0,0,9,264199,6230,2018,0
132639,3,180470,0,1,4,0,512.91,518.08,518.08,0,0,9,264200,6205,2018,0
132640,1662,180671,0,1,4,0,10.6,10.6,10.6,0,0,9,264201,6230,2018,0
132641,284,180567,0,1,4,0,-1147.3,-1147.3,-1147.3,0,0,9,264202,6215,2018,0
132642,284,180605,0,1,4,0,1147.3,1147.3,1147.3,0,0,9,264203,6215,2018,0
132643,2894,180663,0,1,4,0,18.39,18.39,18.39,0,0,9,264204,6230,2018,0
132644,1829,180663,0,1,4,0,18.39,18.39,18.39,0,0,9,264205,6230,2018,0
132645,2749,180538,0,1,4,0,14.75,14.75,14.75,0,0,9,264206,6230,2018,0
132646,4,0,0,1,4,0,50.35,50.35,50.35,0,0,9,264214,0,2018,0
132647,4,180092,0,1,4,0,-68.91,-68.91,-68.91,0,0,8,264218,0,2018,0
132648,4,180092,0,1,4,0,-6.52,-6.52,-6.52,0,0,8,264220,0,2018,0
132649,4,180469,0,1,4,0,28.58,28.58,28.58,0,0,9,264222,0,2018,0
132650,4,0,0,1,4,0,141.9,141.9,141.9,0,0,9,264224,0,2018,0
132651,2603,0,0,1,4,0,14.99,14.99,14.99,0,0,9,264226,0,2018,0
132652,4,180672,0,1,4,0,72.15,72.15,72.15,0,0,9,264228,0,2018,0
132653,1232,0,0,1,4,0,300,300,300,0,0,9,264230,0,2018,0
132654,4,180655,0,1,4,0,32.52,32.52,32.52,0,0,9,264232,0,2018,0
132655,2096,0,0,1,4,0,42.94,42.94,42.94,0,0,9,264234,0,2018,0
132656,1227,0,0,1,4,0,-23.66,-23.66,-23.66,0,0,9,264236,0,2018,0
132657,1227,0,0,1,4,0,-23.66,-23.66,-23.66,0,0,9,264238,0,2018,0
132658,1568,180596,0,1,4,0,63,63,63,0,0,9,264240,0,2018,0
132659,4,180470,0,1,4,0,37.55,37.55,37.55,0,0,9,264242,0,2018,0
132660,1224,0,0,1,4,0,28.49,28.49,28.49,0,0,9,264244,0,2018,0
132661,1227,0,0,1,4,0,20.89,20.89,20.89,0,0,9,264246,0,2018,0
132662,1519,0,0,1,4,0,8.97,8.97,8.97,0,0,9,264248,0,2018,0
132663,4,180470,0,1,4,0,-37.55,-37.55,-37.55,0,0,9,264250,0,2018,0
132664,4,180470,0,1,4,0,37.55,37.55,37.55,0,0,9,264252,0,2018,0
132665,4,180470,0,1,4,0,19.99,19.99,19.99,0,0,9,264254,0,2018,0
132666,4,180470,0,1,4,0,35.49,35.49,35.49,0,0,9,264256,0,2018,0
132667,4,180470,0,1,4,0,40.62,40.62,40.62,0,0,9,264258,0,2018,0
132668,4,180605,0,1,4,0,32.93,32.93,32.93,0,0,9,264260,0,2018,0
132669,4,180630,0,1,4,0,5.98,5.98,5.98,0,0,9,264362,0,2018,0
132670,4,180630,0,1,4,0,13.97,13.97,13.97,0,0,9,264364,0,2018,0
132671,4,180630,0,1,4,0,5.48,5.48,5.48,0,0,9,264366,0,2018,0
132672,4,180630,0,1,4,0,131.8,131.8,131.8,0,0,9,264368,0,2018,0
132673,4,180630,0,1,4,0,9.89,9.89,9.89,0,0,9,264370,0,2018,0
132674,4,180630,0,1,4,0,9.16,9.16,9.16,0,0,9,264372,0,2018,0
132675,4,180438,0,1,4,0,15.47,15.47,15.47,0,0,9,264374,0,2018,0
132676,4,170771,0,1,4,0,101.67,101.67,101.67,0,0,9,264376,0,2018,0
132677,4,0,0,1,4,0,144.7,144.7,144.7,0,0,9,264378,0,2018,0
132678,4,180618,0,1,4,0,344.52,344.52,344.52,0,0,9,264383,0,2018,0
132679,4,180649,0,1,4,0,27.04,27.04,27.04,0,0,9,264386,0,2018,0
132680,4,2018091601,0,1,4,0,144.46,144.46,144.46,0,0,9,264388,0,2018,0
132681,4,2018083001,0,1,4,0,-12.45,-12.45,-12.45,0,0,9,264394,0,2018,0
132682,4,2018083001,0,1,4,0,53.57,53.57,53.57,0,0,9,264397,0,2018,0
132683,4,180620,0,1,4,0,-63.29,-63.29,-63.29,0,0,9,264400,0,2018,0
132684,4,180620,0,1,4,0,124.34,124.34,124.34,0,0,9,264402,0,2018,0
132685,4,180620,0,1,4,0,21.99,21.99,21.99,0,0,9,264404,0,2018,0
132686,4,180315,0,1,4,0,302.42,302.42,302.42,0,0,9,264406,0,2018,0
132687,4,180315,0,1,4,0,677.96,677.96,677.96,0,0,9,264408,0,2018,0
